ABO	0.004186441
ADGRG1	0.029616221
AGER	-0.19698876
AGR2	0.032960034
ALPI	-0.006392052
AMPD3	0.001782186
APLP1	-0.003597818
APOE	-0.02003218
AREG	0.054362367
ART3	-0.135617009
ATXN2	-0.004048616
BCAN	-0.127021409
C1QL2	-0.028549492
CA14	-0.197798916
CA2	0.005648056
CA6	-0.03975055
CALCA	0.045529923
CCL17	0.004585326
CCL24	0.007318117
CCL5	0.00254815
CCNE1	-0.000868165
CD177	-0.002467097
CDCP1	0.018404697
CEACAM5	0.161800708
CELA2A	-0.01157237
CLEC4C	-0.002555849
CNDP1	-0.034085355
CNTNAP4	0.009866779
COL24A1	0.01297145
CPA2	-0.012268907
CRH	-0.029259367
CSRP3	0.010588446
CXCL11	0.001446819
CXCL13	0.00145982
CXCL17	0.045018861
CXCL8	0.026388108
CYB5A	-0.00104887
DCTN2	0.001396741
DCXR	-0.073901919
DDC	-0.021714491
DEFB4A_DEFB4B	0.001157595
DNM1	-0.004658288
DSG4	-0.025763018
DUSP13	-0.009603675
EDA2R	0.219233045
EDAR	-0.00555103
ELN	0.029252934
FABP2	-0.005847199
FABP6	-0.019166352
FASLG	-0.013499887
FCRLB	0.01754546
FGF7	-0.003466552
FGFBP2	-0.034922247
FOLR3	-0.002461347
FOXO3	-0.004656311
FUCA1	-0.001115634
FUT3_FUT5	0.024891972
GAST	0.011578988
GCG	-0.018914241
GDF15	0.261969092
GFAP	0.117001508
GIP	0.030591079
GP2	0.055962623
GPA33	-0.01354014
GPIHBP1	-0.003647602
GZMB	-0.013261295
HADH	-0.002513173
HAO1	0.000783925
HAVCR1	0.084713613
HGF	0.020354258
HPGDS	-0.078763609
IFNG	-0.020898191
IL18RAP	-0.003637898
IL22	0.040006757
IL6	0.059340854
IL7R	-0.055318474
ITGAM	-0.023249173
KLK3	0.066298496
KLK4	0.045458298
KLK8	-0.015627041
KRT19	0.039315083
LCP1	-0.012486218
LHB	-0.018914962
LILRA3	-0.002048195
LRRN1	-0.012283432
LTBP2	0.346229238
MEP1B	-0.016035803
MICB_MICA	0.009443582
MLN	0.000459434
MMP10	-0.072449896
MMP12	0.097103934
MMP9	0.022714003
MSTN	-0.00085479
NCAN	-0.014476036
NEFL	0.336217921
NPPB	0.034193766
NPTN	-0.002321683
NTF4	-0.00945772
NTproBNP	0.051535094
ODAM	-0.014026355
OMG	-0.016459772
PINLYP	-0.002459464
PLA2G1B	-0.029098427
PLAT	0.071546462
PLB1	-0.003257035
PM20D1	-0.006639712
PNLIPRP1	-0.02418156
PNPT1	-0.000927453
PRRT3	-0.053728388
PRSS8	0.032147747
PSCA	-0.004752918
PSG1	0.008369019
PSPN	0.007409402
PTGR1	-0.037990401
PTN	0.060360828
RBFOX3	0.064552533
REN	0.067372669
RET	-0.103691019
RLN2	-0.047369292
RNASE3	-0.014864729
SCG3	-0.003241585
SCIN	-0.00305553
SDC4	-0.001490419
SELE	-0.006317398
SFRP1	0.019783302
SFTPA1	0.004799695
SFTPD	0.069358955
SH3GL3	-0.00566334
SHC1	-0.015518968
SKAP1	-0.056992285
SMPDL3A	-0.001398604
SOST	-0.066710216
SPON1	0.01054866
SSC4D	-0.013447289
TCL1B	-0.003918333
TGM2	0.024589022
TIMP3	0.000996684
TNFRSF10B	0.028888853
TNFRSF6B	0.053028303
TNFSF11	-0.010130965
TNR	-0.156738889
TRIM21	-0.003640476
TSPAN1	0.00070575
TSPAN8	0.014374121
VGF	-0.204562494
WFDC2	0.177868371
XG	-0.051545531
ZNRD2	0.009223795
